Time,Value
0.799,-0.03141
0.8,3.74507e-07
0.801,0.0314107
0.802,0.0627901
0.803,0.0941075
0.804,0.125334
0.805,0.156435
0.806,0.187381
0.807,0.218143
0.808,0.248691
0.809,0.278992
0.81,0.309017
0.811,0.338738
0.812,0.368124
0.813,0.397149
0.814,0.42578
0.815,0.45399
0.816,0.481753
0.817,0.509041
0.818,0.535827
0.819,0.562084
0.82,0.587785
0.821,0.612907
0.822,0.637425
0.823,0.661312
0.824,0.684547
0.825,0.707107
0.826,0.728968
0.827,0.750112
0.828,0.770513
0.829,0.790155
0.83,0.809017
0.831,0.82708
0.832,0.844328
0.833,0.860742
0.834,0.876307
0.835,0.891006
0.836,0.904827
0.837,0.917755
0.838,0.929776
0.839,0.940881
0.84,0.951056
0.841,0.960294
0.842,0.968583
0.843,0.975917
0.844,0.982287
0.845,0.987688
0.846,0.992115
0.847,0.995562
0.848,0.998027
0.849,0.999507
0.85,1
0.851,0.999507
0.852,0.998027
0.853,0.995562
0.854,0.992115
0.855,0.987688
0.856,0.982287
0.857,0.975917
0.858,0.968583
0.859,0.960293
0.86,0.951056
0.861,0.940881
0.862,0.929777
0.863,0.917755
0.864,0.904827
0.865,0.891006
0.866,0.876307
0.867,0.860742
0.868,0.844328
0.869,0.82708
0.87,0.809017
0.871,0.790155
0.872,0.770514
0.873,0.750111
0.874,0.728968
0.875,0.707107
0.876,0.684547
0.877,0.661312
0.878,0.637423
0.879,0.612907
0.88,0.587785
0.881,0.562084
0.882,0.535826
0.883,0.509041
0.884,0.481754
0.885,0.453991
0.886,0.42578
0.887,0.397147
0.888,0.368124
0.889,0.338738
0.89,0.309017
0.891,0.278992
0.892,0.248689
0.893,0.218143
0.894,0.187382
0.895,0.156435
0.896,0.125332
0.897,0.0941079
0.898,0.0627905
0.899,0.0314111
0.9,7.49014e-07
0.901,-0.0314115
0.902,-0.0627908
0.903,-0.0941082
0.904,-0.125333
0.905,-0.156434
0.906,-0.187382
0.907,-0.218143
0.908,-0.24869
0.909,-0.27899
0.91,-0.309018
0.911,-0.338738
0.912,-0.368125
0.913,-0.397148
0.914,-0.425779
0.915,-0.453991
0.916,-0.481754
0.917,-0.509041
0.918,-0.535826
0.919,-0.562084
0.92,-0.587786
0.921,-0.612907
0.922,-0.637424
0.923,-0.661311
0.924,-0.684548
0.925,-0.707107
0.926,-0.728969
0.927,-0.750111
0.928,-0.770513
0.929,-0.790155
0.93,-0.809017
0.931,-0.82708
0.932,-0.844328
0.933,-0.860742
0.934,-0.876307
0.935,-0.891007
0.936,-0.904827
0.937,-0.917754
0.938,-0.929777
0.939,-0.940881
0.94,-0.951056
0.941,-0.960294
0.942,-0.968583
0.943,-0.975917
0.944,-0.982287
0.945,-0.987688
0.946,-0.992115
0.947,-0.995562
0.948,-0.998027
0.949,-0.999507
0.95,-1
0.951,-0.999507
0.952,-0.998027
0.953,-0.995562
0.954,-0.992115
0.955,-0.987688
0.956,-0.982287
0.957,-0.975917
0.958,-0.968583
0.959,-0.960294
0.96,-0.951057
0.961,-0.94088
0.962,-0.929776
0.963,-0.917755
0.964,-0.904827
0.965,-0.891007
0.966,-0.876306
0.967,-0.860742
0.968,-0.844328
0.969,-0.827081
0.97,-0.809016
0.971,-0.790155
0.972,-0.770513
0.973,-0.750111
0.974,-0.728969
0.975,-0.707106
0.976,-0.684547
0.977,-0.661312
0.978,-0.637424
0.979,-0.612908
0.98,-0.587785
0.981,-0.562083
0.982,-0.535827
0.983,-0.509042
0.984,-0.481753
0.985,-0.45399
0.986,-0.425779
0.987,-0.397148
0.988,-0.368125
0.989,-0.338737
0.99,-0.309017
0.991,-0.278991
0.992,-0.24869
0.993,-0.218144
0.994,-0.187381
0.995,-0.156434
0.996,-0.125333
0.997,-0.094109
0.998,-0.0627897
0.999,-0.0314104
